### framework  (비판 finding 39 → 반영 22 / 반려 6, all_green=True)
  + 진도 키 'clf:<pluginId>:shell-progress' → 'clf:<pluginId>:progress' 로 통일. 플러그인계약 §5 준수. 기존 저장 진도가 항상 null로 복원되던 버그 수정.  [shell.js savePluginProgress/loadPluginProgress]
  + _renderDashboardFallback() 삭제. _renderDashboard()가 이미 PLUGIN_REGISTRY 전체를 순회하므로 완전 중복. 데이터 없을 때 console.warn만 남김.  [shell.js _renderDashboard]
  + contribs[0] 단일 선택에 TODO 주석 명시('복수 플러그인 merge 필요'). 계약 위반을 코드에서 문서화.  [shell.js _renderDashboard]
  + reader.onerror 핸들러 추가 (파일 읽기 오류 시 UI 피드백). onProgressRestored 경로의 count++ 제거 → localStorage.setItem 경로에서만 pid당 1회 카운트로 이중 증가 수정.  [shell.js _bindShellEvents import FileReader]
  + deck 클릭 시 _conceptDeckId = deckIdVal 설정 후 _setRoute('concept') 호출. 기존에는 deck 식별자 미전달로 항상 첫 번째 deck만 렌더. href='#' 부작용 → 'javascript:void(0)' 로 교체.  [shell.js _buildNav nav-link click]
  + parsed.route === '' dead code 제거. _parseHash()가 이미 || 'learn' 처리하므로 해당 조건은 절대 true가 되지 않았음.  [shell.js init()]
  + MANIFEST_* 전역 스캔 로직을 헬퍼로 추출. _registerPlugins와 _renderSettings 양쪽에서 공유 — DRY 적용.  [shell.js _collectExtraPluginManifests()]
  + logger 객체(log/warn/error 3개 익명함수) 제거. 플러그인계약 §4 PluginContext 명세 외 추가이며 실질 기능 없음. 12줄 → 0줄.  [shell.js _makeCtx()]
  + globalKey 변환 이중 fallback 제거. 단일 규칙 '_' + pid.replace(/-/g,'_').toUpperCase() + '_PLUGIN' 으로 통일. 두 경로가 동일 결과를 냈으므로 dead code.  [shell.js _registerPlugins()]
  + inst.mount() 동기 throw를 try-catch로 감싸 에러 배너 표시. _activeMountOk 플래그 추가 — mount 실패 시 상태 리셋으로 재마운트 허용. infra !== static 플러그인은 _checkInfra 선행 후 mount (플러그인계약 §8 이행).  [shell.js _mountPlugin / _doMount()]
  + quota 배너를 plugin-host 삽입 → app-level fixed 알림 영역(#app-notif-area)으로 이전. plugin-host 덮어쓰기에 배너가 사라지는 버그 해소. export 성공 시 배너 제거 추가.  [shell.js _showQuotaBanner / _clearQuotaBanner()]
  + wrongItems card_id → window.DECKS 역조회로 front.prompt/text 표시. innerHTML 문자열 연결 제거 → createElement + textContent로 XSS 위험 제거. '오답만 다시 풀기' 버튼 추가 (pluginInstance.sta  [shell.js _renderSessionSummary()]
  + section-card에 data-level 속성 추가. _applyConceptFilter에서 getAttribute('data-level')로 읽어 올바른 필터 적용.  [shell.js _renderConceptFilter, _renderConcept()]
  + 검색창 input 핸들러에서 concept 화면 강제 전환(_setRoute('concept')) 제거 — 퀴즈 중 인터럽트 방지. focus 시 concept 아닌 화면이면 blur 후 이동.  [shell.js _bindShellEvents search]
  + D-day 모드 토글 UI를 설정 화면에 추가. localStorage('clf:settings:dday') 저장. _makeCtx()에서 _getDDayMode() 읽어 dDayMode 주입 — 기존 항상 false 하드코딩 해소.  [shell.js _renderSettings() + _getDDayMode/_setDDayMode]
  + 데이터 미충분 시 위젯 숨김 + '학습을 시작하면 진단 데이터가 쌓입니다' 단일 메시지 표시(점진적 공개). pass-path status chip 한국어화(safe→안전/watch→주의/danger→위험).  [shell.js _renderDashboardData()]
  + 전역 scroll 리스너 → concept 진입 시 attachScrollBar, 이탈 시 detachScrollBar + width 리셋으로 교체. 다른 화면 스크롤 시 불필요한 DOM 접근 제거.  [shell.js scroll readbar]
  + Pyodide <script> blocking → defer 추가. CodeMirror, React 등 플러그인 전용 CDN에 onerror='window.__CDN_FAILED=true' 추가. CDN 실패 시 감지 가능.  [index.html CDN scripts]
  + freq-chips(빈출 레벨 필터)를 toolbar에서 제거하고 concept 섹션 상단으로 이동. 퀴즈 화면에서 필터 칩 노출 → 오해 유발 제거.  [index.html toolbar / concept section]
